number,Question (English),GPT 5.1,Grok 4.1,Kimi K2
1,Which deep learning concepts are most frequently mentioned in the comments?,"Based on the full comment set, the most frequently mentioned deep-learning concepts are:
1. Supervised / Self-Supervised / Weakly Supervised Learning
Explicitly referenced in Lecture 2; many viewers ask where to find related videos, slides, and examples.
2. Adversarial Robustness & Adversarial Machine Learning
From Lecture 4, several commenters discuss adversarial behaviors, high-dimensional decision boundaries, and security concerns.
3. Generative Models
Especially GAN-related notions and general generative modeling appear often in Lecture 4 comments.
4. Reinforcement Learning (RL) & Deep Q-Learning (DQN)
Lecture 5 has heavy comment activity about Q-learning, Bellman equations, DQN architecture, exploration vs exploitation, Atari examples, and RLHF.
5. RLHF (Reinforcement Learning from Human Feedback)
Repeated references to reward models, preference data, and ChatGPT-style training.
6. Agents, Prompt Engineering, and RAG
Lecture 8 generates many mentions of:
prompt engineering (CoT, prompt chaining),
RAG workflows (embeddings, vector DBs),
agentic AI,
Model Context Protocol (MCP).
7. Full-cycle DL project workflow
Comments call out strategies for dataset design, training loops, debugging, and production considerations (Lecture 3).
8. Model interpretability / “What’s going on inside my model?”
From Lecture 10, several comments mention data tracing and understanding internals.
Most dominant themes across all lectures:
RL (especially DQN & RLHF)
Agents + Prompt Engineering + RAG
Supervised vs. self-supervised learning
Adversarial robustness
If you want, I can also produce a frequency-ranked table or cluster these themes by lecture.","Top deep learning concepts mentioned in comments across all lectures: 

1. RAG (Retrieval-Augmented Generation) – Frequently referenced in Lecture 8 comments (e.g., questions about RAG techniques, HyDE, chunking). 
2. Agents / Agentic Workflows – Heavily discussed in Lecture 8 (multi-agent systems, autonomy levels, MCP vs APIs, tool use). 
3. Prompt Engineering / Prompting – Common in Lecture 8 (chain-of-thought, few-shot/zero-shot, prompt chaining, evaluation). 
4. Fine-tuning – Mentioned multiple times (limitations, overfitting, comparison to prompting/RAG). 
5. RLHF (Reinforcement Learning from Human Feedback) – Highlighted in Lecture 5 comments and timestamps. 
6. Reinforcement Learning / Deep RL – Appears in Lecture 5 (DQN, PPO, AlphaGo, self-play). 
7. Adversarial (Robustness/Attacks) – Noted in Lecture 4 comments. 

Other occasional mentions: self-supervised learning, generative models, embeddings/vector DBs, interpretability (Lecture 10 title). 

Lecture 8 (Agents, Prompts, RAG) dominates recent discussions, driving most mentions of modern LLM-related concepts.","The most frequently mentioned deep-learning concepts in the comments are:

1. Reinforcement Learning / Deep Q-Learning 
2. RAG (Retrieval-Augmented Generation) 
3. Agents / Agentic Workflows 
4. Prompt Engineering / Chain-of-Thought 
5. Fine-tuning vs. RAG trade-off"
2,Which algorithms or models are commonly mentioned by viewers?,"From all viewer comments across the 10 lectures, the commonly mentioned algorithms and models are:
1. Deep Q-Network (DQN)
Referenced repeatedly in Lecture 5 timestamps and discussions (Q-tables, Bellman equation, Atari games).
2. RLHF Components
Not a single algorithm but commonly mentioned elements:
Reward Models
Supervised Fine-Tuning (SFT)
Policy optimization (general RL formulations)
3. PPO / TRPO / DPO
Explicitly listed in Lecture 5 viewer summaries as “other RL algorithms.”
4. Atari / AlphaGo / AlphaStar / Dota2 agents
These aren’t algorithms themselves but refer to well-known RL systems using deep RL methods.
5. CNN-based architectures (implied through DQN)
Mentioned as part of preprocessing and architecture in RL.
6. Generative Models
Broadly referenced in Lecture 4 comments (adversarial robustness + generative modeling), though specific model names are not listed.
7. RAG (Retrieval-Augmented Generation)
Not a classic algorithm but a commonly referenced architecture pattern.
8. Prompt Engineering & CoT (Chain-of-Thought)
Again conceptual methods rather than classical algorithms but repeatedly mentioned.
9. MCP (Model Context Protocol)
A system-level model/tooling interface mentioned heavily in Lecture 8 discussions.
10. LLMs (general)
Models like GPT-4o, o3, Grok, and “base models” are mentioned but not explored algorithmically in comments.

Most explicitly named algorithms:
DQN
Bellman equation (Q-learning target)
PPO / TRPO / DPO
If you'd like, I can also extract direct viewer quotes referencing each algorithm.","Commonly mentioned algorithms/models in viewer comments: 

1. DQN (Deep Q-Network) – Lecture 5 (Atari, experience replay, ε-greedy). 
2. PPO (Proximal Policy Optimization) – Lecture 5 (continuous control, mentioned alongside TRPO/DPO). 
3. RLHF – Lecture 5 (bridge from GPT-2 to ChatGPT, reward models). 
4. AlphaGo / AlphaStar – Lecture 5 (self-play, emergent strategies). 
5. RAG – Lecture 8 (chunking, HyDE, vector DBs). 
6. Fine-tuning / SFT (Supervised Fine-Tuning) – Lectures 3, 8 (limitations, overfitting vs prompting). 
7. Chain-of-Thought (CoT) – Lecture 8 (prompting technique). 

Other occasional: Bellman equation, embeddings, MCP (Model Context Protocol), ReAct prompting. Lecture 5 (RL) and Lecture 8 (modern LLM techniques) drive most specific mentions.","Most-named algorithms/models in comments: 
- Deep Q-Network (DQN) 
- PPO / TRPO / DPO 
- GPT-3.5 / GPT-4 / ChatGPT 
- AlphaGo / AlphaStar 
- CNN (for Atari DQN)"
3,"Which external learning resources (e.g., books, articles, courses) are mentioned in the comments?","From all 9 batches, viewers explicitly mention only a small set of external learning resources. These are the ones referenced:

Most Frequently Mentioned External Learning Resources
1. Coursera Courses by Andrew Ng / DeepLearning.AI
Mentioned many times:
Machine Learning (2012)
Deep Learning Specialization (Week 2 referenced)
Some commenters return after “8 years” for revision.

2. Stanford CS230 Syllabus & Slides
While not external to the course, viewers repeatedly ask for:
The course syllabus
Links to slides
Optional online videos referenced in lectures
These count as external materials relative to YouTube.

3. Ian Goodfellow’s Deep Learning Book
Referenced by a commenter as their current reading.

4. “AlphaGo Documentary”
Mentioned in timestamps for RL lecture.

5. Karpathy Videos
Specifically a “Karpathy limit of RL” video referenced in Lecture 5 summaries.

6. DeepMind RL Materials (implicit references)
Names like AlphaGo, AlphaStar, Atari DQN are not books, but reference well-known research artifacts people may look up.

7. External APIs / Platforms (not academic, but learning resources in practice)
Referenced in comments:
Baidu Voice Recognition API
Salesforce MCP server (as an example in Lecture 8 discussions)

8. Harvard / Oxford Lectures (not specific, but mentioned)
One commenter mistakenly says “Harvard” while asking about intermediate lectures.

9. “Brain Project at Google”
Mentioned in a debate about Andrew Ng’s accomplishments.
(Not a learning resource, but a research initiative commonly Googled.)

Summary: the Only Explicit Educational Resources
If we strictly filter for actual external educational resources:
Coursera – Machine Learning / Deep Learning Specialization
Ian Goodfellow – Deep Learning (book)
AlphaGo Documentary
Karpathy video on RL limits
Everything else is meta, platform references, or course-internal.

If you want, I can also produce:
A table of resources grouped by lecture
A frequency ranking
A topic-to-resource mapping for curriculum design","External learning resources mentioned in viewer comments: 

- DeepLearning.AI courses / Deep Learning Specialization on Coursera – Multiple mentions (e.g., preparatory videos for Lectures 2–3, parallel learning with CS230). 
- Andrew Ng's original Machine Learning course on Coursera (2011–2012 era) – Several nostalgic references from early learners. 
- Ian Goodfellow's Deep Learning book – One viewer mentions reading it alongside the course. 
- Karpathy video (likely ""The spelled-out intro to language modeling"" or similar) – Referenced in Lecture 5 timestamps/comment for RLHF limits. 

No other books, articles, or specific external courses mentioned in the comments.","External resources mentioned: 
- Coursera “Deep Learning Specialization” (Andrew Ng) 
- CS229 (Stanford ML) – sought but not offered 2025 
- CS231n (Stanford CNN course) 
- Ian Goodfellow’s Deep Learning book 
- Karpathy’s RL video (YouTube)"
4,"Are there any instructors, researchers, or authors mentioned by viewers?","Yes — several instructors, researchers, and authors are explicitly mentioned across the comments.
Here is a concise list.

Most Frequently Mentioned
1. Andrew Ng
By far the most referenced person — praised, discussed, debated, and asked about.
2. Kian Katanforoosh
Co-instructor in CS230; mentioned explicitly in Lecture 2 and Lecture 8 comments.
3. Laurence Moroney
Appears heavily in Lecture 9 comments and replies directly.

Other Researchers / Authors Mentioned
4. Demis Hassabis
Referenced in a comparison with Andrew Ng.
5. Michael Jordan (UC Berkeley)
Mentioned in a reply tracing lineage of ML teaching.
6. David Rumelhart & James McClelland
Referenced in the same discussion as early pioneers of neural networks / PDP.

Prominent AI Figures & Teams Mentioned (Indirection)
These are not deeply discussed but appear in comments:
7. Tom Cunningham
Referenced in a comment about OpenAI researchers resigning.
8. Andrej Karpathy
Mentioned indirectly through “Karpathy video” references in RL lecture timestamps.

Other Mentions
Not core ML researchers but appear in discussions:
YuJa Wang (pianist; mistaken identity comment)
McKinsey (not a person, but referenced repeatedly in Lecture 8 critique)

Summary
The key figures explicitly mentioned by viewers are:
Andrew Ng, Kian Katanforoosh, Laurence Moroney, Demis Hassabis, Michael Jordan, David Rumelhart, James McClelland, Tom Cunningham, Andrej Karpathy.
Let me know if you want a list categorized by lecture or by context (praise, criticism, lineage, etc.).","Instructors, researchers, or authors mentioned by viewers in comments: 

- Andrew Ng – Frequently praised as ""GOAT"", ""legend"", ""hero"", or best instructor (multiple lectures, esp. 1, 3, 5, 9). 
- Kian Katanforoosh – Complimented as ""top-tier professor"" (Lecture 4). 
- Laurence Moroney – Guest speaker in Lecture 9; viewers call his career advice ""gold"" and thank him directly. 
- Ian Goodfellow – His *Deep Learning* book mentioned by one viewer studying alongside the course. 
- Andrej Karpathy – Referenced via a video on RLHF limits (Lecture 5 comment/timestamps). 

No other researchers or authors mentioned.","Names cited: 
Andrew Ng, Kian Katanforoosh, Laurence Moroney, Andrej Karpathy, Ian Goodfellow, Demis Hassabis."
5,"Which frameworks or libraries (e.g., TensorFlow, PyTorch) are frequently mentioned by viewers?","From all 9 batches, no common deep-learning frameworks such as TensorFlow or PyTorch are mentioned by viewers.
What is mentioned (but not DL frameworks):
Baidu Voice Recognition API (Lecture 6 – as an example, not a DL framework)
Salesforce MCP server / Model Context Protocol (MCP) (Lecture 8 – tooling interface)
Grok (used in an example prompt, not a framework)
APIs in general (e.g., vision APIs, voice APIs)
Conclusion
Viewers do NOT frequently mention TensorFlow, PyTorch, JAX, Keras, or any standard ML frameworks.
Only APIs and protocols like Baidu’s API or MCP are discussed, but these are not ML libraries.
If you'd like, I can provide a categorized list of all technical tools mentioned.","Frequently mentioned frameworks/libraries in viewer comments: 

- TensorFlow – Mentioned once (Lecture 9 career advice context, Laurence Moroney's background). 
- PyTorch – Not mentioned at all. 

No other ML frameworks or libraries (e.g., Hugging Face, LangChain, scikit-learn) are referenced in the comments. Viewers focus more on concepts than specific tools.","No viewer comments in the provided data mention TensorFlow, PyTorch, or any other specific framework/library by name."
6,"Which foundational mathematical topics (e.g., linear algebra, probability) appear in the comments?","Only a few foundational math topics appear explicitly in the viewer comments. These are:

1. Linear Algebra
A high-school student mentions having taken linear algebra before taking CS230.
2. Differential Equations
Mentioned by the same student as prior preparation.
3. Probability / Expected Value (implied)
Referenced indirectly through:
Discount factors in RL
Bellman equation
MDPs (Markov Decision Processes)
But commenters do not explicitly name “probability theory.”
4. Optimization / Calculus (implied, not stated)
Indirect mentions through:
Gradient descent (“I understand stochastic gradient descent”).
No explicit calculus references.

Summary of explicit math topics mentioned
✔ Linear algebra
✔ Differential equations
✔ Stochastic gradient descent (optimization concept)
Everything else (probability, MDP math, Bellman equations, etc.) appears only implicitly through RL discussions, not explicitly named by commenters.","Foundational mathematical topics mentioned in viewer comments: 

- Linear algebra – One high school viewer (Lecture 1) mentions having taken courses in linear algebra and differential equations. 
- Differential equations – Same comment as above. 
- Math basics – One viewer (Lecture 1) advises fixing ""maths basics first"" for clarity in Andrew Ng's teaching. 

No mentions of probability, calculus (beyond diff eq), statistics, or optimization in the comments.","None of the comments explicitly mention linear algebra, probability, calculus, or other foundational math topics."
7,Are there specific lectures or videos in the playlist that are frequently referenced?,"Yes. Several specific lectures in the CS230 playlist are repeatedly referenced by viewers.
Here are the ones mentioned most often:

Most Frequently Referenced Lectures
1. Lecture 1 — Introduction to Deep Learning
Referenced often by viewers returning from Coursera or comparing to past versions.
2. Lecture 2 — Supervised, Self-Supervised, Weakly Supervised Learning
Many comments ask:
where to find the slides,
where the “videos Andrew mentions” are,
how this lecture connects to Coursera content.
3. Lecture 3 — Full Cycle of a DL Project
Referenced when people ask where to find “additional online videos” Andrew points to.
4. Lecture 5 — Deep Reinforcement Learning
Very frequently cited because:
viewers post detailed timestamps,
RLHF, DQN, Atari examples spark many questions.
5. Lecture 8 — Agents, Prompts, and RAG
One of the most discussed lectures due to:
prompt engineering
RAG
MCP
agentic workflows
confusion about numbering (Lecture 7 vs 8)
6. Lecture 7 (Missing)
Though not an actual lecture, it is referenced constantly:
Many viewers ask “Where is Lecture 7?”
Stanford replies that there was no class on Nov 4.
7. Lecture 10 — What’s Going On Inside My Model?
Frequently mentioned because:
it was mislabeled as “Lecture 9,”
people asked about lecture sequencing.

Other references
Viewers occasionally reference CS229 (Machine Learning) and older CS230 videos.
Some mention past Coursera ML videos.

Summary
The most referenced lectures are:
Lecture 5 (RL)
Lecture 8 (Agents, Prompts, RAG)
Lecture 2 (Supervised methods)
Lecture 7 (missing, lots of confusion)
Lecture 10 (mis-numbering issue)
If you want, I can also extract which lectures generated the most engagement sentiment, questions, or confusion.","Frequently referenced lectures/videos in comments: 

- Lecture 1 (Introduction): Most mentioned overall – nostalgia for Andrew Ng's older Coursera ML course, high school readiness questions, general praise. 
- Lecture 8 (Agents, Prompts, and RAG): Heavily referenced in later comments (e.g., Lecture 10 confusion about numbering, requests for more on agents/RAG topics). 
- Lecture 5 (Deep Reinforcement Learning): Referenced for RLHF, DQN, AlphaGo examples. 
- Preparatory/online videos (not in YouTube playlist): Repeatedly asked about (e.g., Lectures 2–3 recaps refer to DeepLearning.AI/Coursera modules mentioned in syllabus). 

Viewers often cross-reference Lecture 1 as the ""classic"" intro and Lecture 8 as the standout modern topic.","Most-referenced specific lectures: 
- Lecture 2 (supervised/self-supervised) – “where is lecture 2?” 
- Lecture 5 (deep RL) – timestamped Q-learning segment 
- Lecture 8 (agents/RAG) – repeatedly called “the best/missing lecture” 
- Lecture 9 (careers) – cited for Laurence Moroney advice"
8,"Which assignments, exercises, or projects are mentioned by viewers?","Across all 9 batches, viewers mention only a small handful of concrete assignments or projects, almost all coming from Lecture 2 discussions.
Here are the explicitly named projects/exercises:

1. Day/Night Classification
Mentioned as one of the projects discussed in Lecture 2.
2. Trigger Word Detection
Also listed as a project in the Lecture 2 comment:
“day and night classification, trigger word detection, face verification and face identification.”
3. Face Verification
Explicitly mentioned in the same list.
4. Face Identification
Also part of the project list referenced by viewers.

⚠️ Items mentioned but not actual course assignments
These appear in comments but are not actual student projects:
Atari / Breakout RL agent (comes from lecture examples, not assignments)
Travel agent workflow (Lecture 8 example, not a project)
Smart home automation agent (Lecture 8 example)
Recycling RL example (lecture demo)
Viewers refer to them, but they are not assignments.

Summary — Actual project mentions
The only real assignments/exercises/projects mentioned by viewers are:
Day/Night Classification
Trigger Word Detection
Face Verification
Face Identification
These correspond to classic CS230-style homework tasks in earlier years of the course.

If you want, I can also categorize these by task type (classification, sequence modeling, Siamese networks, etc.).","Assignments, exercises, or projects mentioned by viewers in the comments:

- Projects together / collaborative projects – mentioned in Lecture 1 (user seeking Harvard/Stanford community for sharing learning and doing projects).
- No specific assignments (e.g., homework, programming assignments) are directly mentioned.
- One indirect reference: in Lecture 1, a user mentions working on ""trigger word detection"" and asks if anyone else is doing it (possibly a past Coursera assignment resurfacing).

Overall, viewers rarely discuss specific course assignments, exercises, or projects in the provided comments.","Projects or assignments explicitly named: 
- Day-vs-night image classifier 
- Trigger-word detection 
- Face verification / identification 
- Atari Breakout with DQN 
- Smart-home multi-agent automation"
9,Which technical terms are considered important by learners in the video?,"Across all 10 lecture comment sections, learners consistently highlight a set of technical terms they consider important, based on questions, confusion, praise, or repeated references.
Here are the most important technical terms, grouped by theme for clarity:

1. Core Deep Learning Terms
Supervised learning
Self-supervised learning
Weakly supervised learning
Full-cycle DL project
Generative models
Adversarial robustness
Learners ask many clarification questions about these.

2. Reinforcement Learning Concepts
Aside from Lecture 5 being heavily referenced, these specific RL terms stand out:
Reinforcement learning (RL)
Deep Q-Network (DQN)
Q-table
Bellman equation
Policy, value, rewards
Exploration vs exploitation
Discount factor
Sparse rewards
Imitation learning
RLHF (Reinforcement Learning from Human Feedback)
Reward models
Supervised Fine-Tuning (SFT)
These appear frequently in timestamps and follow-up questions.

3. Modern LLM & Agentic AI Terms
This set dominates Lecture 8 discussions:
Prompt engineering
Chain-of-Thought (CoT)
Prompt chaining
Zero-shot / Few-shot prompting
RAG (Retrieval-Augmented Generation)
Embeddings / Vector database
Chunking
HyDE (Hypothetical Document Embeddings)
Agents / Agentic workflows
Multi-agent systems
MCP (Model Context Protocol)
System prompt
Learners pay special attention to these because they’re highly practical.

4. Vision / Verification Tasks
From Lecture 2 project discussions:
Face verification
Face identification
Trigger-word detection
Day/night classification
These tasks are repeatedly referenced as important learning exercises.

5. Model Interpretability & Debugging Terms
From Lecture 10 and project discussions:
Data tracing
Decision boundaries
Overfitting / underfitting
Scaling limits
High-dimensional geometry
These show up in conceptual questions from learners.

6. General ML Terms Learners Emphasize
Accuracy
False positives / false negatives
Training vs test performance
Sample efficiency
Pre-training / fine-tuning
Context window
These appear frequently in corrections, clarifications, and discussions.

Summary — Top 6 most emphasized technical terms overall
RAG
Prompt engineering / CoT
DQN / RLHF
Adversarial robustness
Supervised vs self-supervised learning
MCP (Model Context Protocol)
If you want, I can also extract the exact comments that indicate learners consider these terms important.","Technical terms considered important by learners (frequently mentioned or questioned in comments): 

- RAG (Retrieval-Augmented Generation) – Most prominent (implementation, chunking, HyDE). 
- Agents / Agentic Workflows – Heavily discussed (autonomy levels, multi-agent, tool use). 
- Prompt Engineering (including Chain-of-Thought, few-shot/zero-shot, ReAct, prompt chaining). 
- Fine-tuning / SFT (limitations, overfitting vs prompting/RAG). 
- RLHF (reward models, human preferences). 
- DQN (experience replay, ε-greedy). 
- MCP (Model Context Protocol vs APIs). 
- Embeddings / Vector Databases. 

Learners emphasize modern LLM-related terms from Lectures 5 and especially 8 (Agents, Prompts, RAG).","Learner-highlighted terms: 
RAG, agents, prompt chaining, ε-greedy, replay buffer, reward model, RLHF, fine-tuning, vector DB, MCP, multi-agent, evaluation metrics."
10,Are there recurring core conceptual questions in the comments?,"Yes — several recurring conceptual questions appear across the entire comment set. These come up repeatedly from different viewers, signaling common points of confusion or curiosity.
Below are the core themes of these repeated questions:

1. “Where can I find the additional videos/slides/materials?”
Appears very often in Lecture 1–3.
Viewers repeatedly ask:
What videos Andrew is referring to
Where the online modules are
How to access slides, syllabus, and assignments
Whether Coursera or DeepLearning.AI content is required

2. “Where is Lecture 7? Why is the numbering inconsistent?”
This is one of the most repeated questions in the whole dataset.
Many people search for Lecture 7 until Stanford clarifies no class was held.

3. “How do we detect fraud / adversarial attacks?”
Especially in Lecture 2 and 4:
How can face verification detect spoofing?
How do adversarial examples work in high dimensions?
How to build more robust models?

4. “Is scaling/retraining always necessary?”
Viewers question:
Why performance improves beyond 100% accuracy (concept confusion)
Whether larger models overfit
How scaling laws relate to traditional ML
When you need to retrain a small NN (Lecture 3)

5. “How do RL algorithms actually learn?”
Frequently repeated in Lecture 5:
How targets in DQN work
What Bellman equation really means
Why exploration is necessary
How replay buffers help sample efficiency

6. “Prompt engineering vs. fine-tuning vs. RAG — which is better?”
A major recurring question in Lecture 8:
When should you fine-tune?
When is RAG preferred?
Is prompt chaining better than CoT?
Why base models fail without augmentation?

7. “How to prepare for CS230? What background is required?”
Viewers ask:
Do they need more math?
Is Coursera ML enough?
What counts as CS fundamentals?

8. “How do agent workflows actually work in practice?”
Frequent questions include:
What tools should agents use?
How to evaluate agents?
What is MCP vs API?
How do multi-agent systems coordinate?

9. “Can AI replace certain jobs?”
Lecture 8 and 9 trigger many questions about:
White-collar job loss
Entry-level roles disappearing
Whether engineering degrees still matter

10. “How do I follow along with the course if I’m not enrolled?”
Many viewers ask how to:
Do the projects
Access intermediate materials
Keep up without Stanford enrollment

Summary — The most recurring conceptual questions
Where are the missing materials / lectures / videos?
How do adversarial robustness and spoof detection work?
Why and when do we retrain models?
How do RL algorithms actually learn from Bellman updates?
Prompting vs. fine-tuning vs. RAG — which should I use?
What background do I need for CS230?
How do agentic AI systems function and scale?
What is the impact of AI on jobs?
If you want, I can turn this into a FAQ-style summary, or extract direct viewer quotes for each theme.","Recurring core conceptual questions in comments: 

1. Preparatory videos/slides access – Repeatedly asked: ""Where are the online videos/recaps mentioned?"" or ""How to access slides/quizzes?"" (Lectures 2, 3, 8, 10). 

2. Fine-tuning vs prompting/RAG – Several questions on when to fine-tune vs use prompting or RAG, and fine-tuning limitations/overfitting. 

3. Agentic workflows & tools – Questions about agent autonomy levels, MCP vs APIs, security issues with MCP, and multi-agent systems (Lecture 8). 

4. Evaluation methods – How to evaluate prompts, agents, or models (human eval vs LLM-as-judge, end-to-end metrics). 

5. RL concepts – Sparse rewards, exploration vs exploitation, RLHF mechanics (Lecture 5). 

6. Interpretability/adversarial – Limited, but some on adversarial robustness and ""what's inside the model"" (Lectures 4, 10). 

These cluster around practical application of modern LLM techniques (Lectures 5 & 8 dominant).","Recurring questions: 
- When/where is lecture X? 
- How to access missing slides or Coursera videos? 
- Fine-tune vs RAG—when to use which? 
- How to evaluate or debug prompt/agent performance?"
